latitude,longitude,altitude,geometry,gid,stopid,stopnumber,status,stopname,location,stoptype,suburb,accessible,bay,shelter,asset,area_lg,weekear,weekpam,weekoff,weekppm,weeklat,satear,satpam,satoff,satppm,satlat,sunphear,sunphpam,sunphoff,sunphppm,sunphlat,object_id
-32.298114154,115.744947791,,Point,1115,1115,17250,Active,Read St After Rae Rd, ,Standard,COOLOONGUP,Y,Y,Y,Infounit Narrow,Perth Metro,3,19,59,23,23,0,9,35,10,10,0,6,28,8,9,1
-31.910989621,115.848462328,,Point,6491,6491,16813,Active,Wiluna St Dog Swamp Shopping Ctr,Dog Swamp Shop Ctr,Standard,YOKINE,Y,Y,Y,Infounit Narrow,Perth Metro,2,8,47,28,25,2,5,28,8,21,0,4,27,8,16,2
-32.068748015,115.954108641,,Point,4098,4098,20666,Active,Ovens Rd Before Maitland Pl,Ovens Rd / Maitland Pl,Standard,THORNLIE,Y,N,Y,Orange Post,Perth Metro,0,5,15,8,11,0,1,14,4,9,0,0,7,2,3,3
-30.769805954,121.488962111,,Point,29139,29139,71444,Active,Federal Rd After Holmes St, ,Standard,BOULDER,Y,N,Y,Orange Post,Kalgoorlie,0,4,7,3,0,0,1,2,0,0,0,0,0,0,0,4
-32.074181477,115.960070746,,Point,12266,12266,20761,Active,Forest Lakes Dr After Lakeside Dr, ,Standard,THORNLIE,Y,N,Y,Orange Post,Perth Metro,0,5,15,8,11,0,1,14,4,9,0,0,7,2,3,5
-31.890781416,116.002958188,,Point,13602,13602,14628,Active,Helena St Before Victoria St, ,Standard,MIDLAND,Y,Y,Y,Infounit Small,Perth Metro,10,28,90,29,27,2,9,65,17,20,0,2,24,8,6,6
-31.892118002,116.014733565,,Point,34348,34348,14612,Active,Great Eastern Hwy After Loton Av, ,Standard,MIDLAND,Y,N,Y,Infounit Small,Perth Metro,2,9,10,4,4,0,3,5,1,3,0,1,3,1,0,7
-31.879016576,116.203430385,,Point,2388,2388,15166,Active,Keane St After Ilich Ct,Keane St West / Alice Rd,Standard,MOUNT HELENA,Y,N,Y,Orange Post,Perth Metro,3,2,7,0,0,0,1,1,0,0,0,0,0,0,0,8
-31.879575202,116.006990831,,Point,12684,12684,14838,Active,Muriel St La Salle College S2,La Salle College,School,MIDDLE SWAN,Y,Y,Y,Blue Post,Perth Metro,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9
-32.570651566,115.811170831,,Point,36132,36132,26595,Active,Pinjarra Rd After Fiegert Rd, ,Standard,NORTH YUNDERUP,Y,N,Y,Orange Post,Perth Metro,2,7,13,0,1,0,0,0,0,0,0,0,0,0,0,10
