,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK,STATION_NUM,NEAREST_CEM_DIST,MEAN_PRICE,DIFFERENCE
0,52 Graham Road,Gooseberry Hill,855000,3,2,2.0,2148,192,1976.0,18300,Midland Station,7400,2018-01-01,6076,-31.9420119,116.0518514,TREETOPS MONTESSORI SCHOOL,3.2318402154123724,200.0,1.0,6650.1147547886685,700941.9873096447,154058.0126903553
1,111 Willmott Drive,Cooloongup,270000,3,1,1.0,681,90,1988.0,40100,Rockingham Station,1300,2018-01-01,6168,-32.3019,115.75776,SOUTH COAST BAPTIST COLLEGE,1.4973082247652618,54.0,9.0,3395.069163796835,700941.9873096447,-430941.9873096447
2,12 Moreto Turn,Caversham,502500,4,2,2.0,474,189,,14300,Guildford Station,3800,2018-01-01,6055,-31.86401386,115.9697493,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.3054094426960896,130.0,6.0,3937.034611183589,700941.9873096447,-198441.9873096447
3,6 Finchley Rise,Mount Claremont,1780000,4,2,2.0,916,263,1991.0,7500,Claremont Station,1900,2018-01-01,6010,-31.96374,115.78073,JOHN XXIII COLLEGE,0.5727734654777153,8.0,15.0,1898.1575284468013,700941.9873096447,1079058.0126903553
4,32a Talbot Road,Swan View,428000,3,2,,850,152,2010.0,19900,Midland Station,5000,2018-01-01,6056,-31.88291153,116.0530543,SWAN VIEW SENIOR HIGH SCHOOL,0.9677361932259728,149.0,16.0,3867.178161692481,700941.9873096447,-272941.9873096447
5,5 Raby Court,Cooloongup,240000,3,1,1.0,688,127,1980.0,40300,Rockingham Station,1600,2018-01-01,6168,-32.30278,115.75244,SAFETY BAY SENIOR HIGH SCHOOL,1.080376409281136,136.0,9.0,3190.22101385919,700941.9873096447,-460941.9873096447
6,1 Elvire Street,Midland,349000,2,1,,927,106,1930.0,15300,Midland Station,633,2018-01-01,6056,-31.88588,116.00078,LA SALLE COLLEGE,0.8824765111293752,53.0,9.0,1370.307963425033,700941.9873096447,-351941.9873096447
7,31 Ellesmere Road,Swan View,347000,3,1,1.0,696,110,1975.0,19200,Midland Station,4300,2018-01-01,6056,-31.88456,116.04559,SWAN VIEW SENIOR HIGH SCHOOL,0.3457474874680662,149.0,21.0,3138.981672272722,700941.9873096447,-353941.9873096447
8,479b Bickley Road,Kenwick,340000,4,2,2.0,367,132,2011.0,15400,Madding,2200,2018-01-01,6107,-32.03181886,115.9927158,REHOBOTH CHRISTIAN COLLEGE,1.3949786484338875,112.0,6.0,13591.104613392785,700941.9873096447,-360941.9873096447
9,151 Harpenden Street,Huntingdale,490000,4,2,2.0,590,250,2006.0,17400,Thornlie Station,4100,2018-01-01,6110,-32.083909,115.957877,THORNLIE SENIOR HIGH SCHOOL,1.968325274956543,125.0,13.0,15994.423199362223,700941.9873096447,-210941.9873096447
